    x    y  z
  126  -99  2
  165 -189  2
  144 -207  2
 -165  201  4
  140 -170  2
 -191 -165  1
   63  186  0
 -109  129  3
 -203  194  4
 -111   24  3
  122  226  0
  144 -132  2
 -116   62  3
 -237  216  4
 -179 -208  1
   94  198  0
   99  189  0
   67  176  0
 -219  141  4
 -224 -219  1
  -94   63  3
  178 -159  2
  -74   65  3
 -112   66  3
 -211  163  4
 -196 -251  1
 -218 -184  1
 -146  172  4
 -179 -187  1
 -225  230  4
  -94   53  3
 -230 -219  1
  -66  127  3
 -219 -229  1
  145  219  0
  -73   98  3
  -48  222  4
  118  197  0
   88  182  0
 -167  211  4
  153 -142  2
 -250  239  4
 -186  225  4
  -74   64  3
  126 -164  2
 -172  208  4
 -248 -206  1
 -232 -210  1
  -91   26  3
  -88   75  3
   79  184  0
 -109   83  3
  -86   52  3
 -120   97  3
  -90  106  3
  167 -147  2
 -183  161  4
 -139   69  3
  117  182  0
 -169 -243  1
  -92   77  3
 -209  206  4
  -62   67  3
  161  162  0
 -182  209  4
 -181 -226  1
  -86   63  3
 -162 -221  1
 -187  184  4
  143 -135  2
  155  188  0
 -236 -193  1
 -185 -247  1
  159 -165  2
   82  205  0
  -74   57  3
   93  123  0
 -234  225  4
 -202 -212  1
 -167 -167  1
   98  203  0
  168 -128  2
  100  233  0
  167 -160  2
  160 -158  2
 -184 -204  1
 -215  207  4
 -228 -185  1
 -235 -235  1
 -111   82  3
  189 -150  2
 -190 -176  1
  -91   65  3
 -191 -159  1
 -234  188  4
  139 -142  2
 -182  211  4
  118 -136  2
  133 -135  2
 -123   59  3
  153 -203  2
 -220  201  4
  193 -137  2
  116 -120  2
 -114   22  3
  153 -175  2
 -178  234  1
  110  223  0
 -193  178  4
 -211  195  4
  100  189  0
  177 -120  2
  181 -147  2
 -217 -155  1
 -105   63  3
 -233  207  4
  162 -168  2
  141 -132  2
 -220  200  4
  122  234  0
  -90   51  3
  152 -126  2
 -204 -194  1
 -186 -195  1
 -252 -233  1
 -201  231  4
  147 -194  2
 -163 -177  1
  118  182  0
  113 -142  2
 -176 -206  1
  -75   70  3
 -156 -223  1
  104  237  0
  117  209  0
 -108    5  3
 -204 -191  1
 -197  216  4
   86  200  0
 -211 -215  1
  116  242  0
 -189 -184  1
 -236  242  4
  112  185  0
  136 -158  2
 -202 -194  1
  101  193  0
   85  200  0
 -182  176  4
  105  178  0
 -208  224  4
  133 -158  2
 -140   69  3
  109  189  0
  -85   49  3
  -97   35  3
 -193  194  4
 -198  189  4
 -158 -239  1
 -170  180  4
 -178 -200  1
  127 -157  2
 -196 -195  1
   71  188  0
 -174 -159  1
 -165 -182  1
  167 -143  2
 -162 -196  1
  148 -158  2
   75  168  0
 -176  206  4
 -198  189  4
  -73   75  3
 -219 -204  1
  141 -132  2
  184 -154  2
   76  221  0
 -193  219  4
 -235  202  4
  -79  203  0
  -91   74  3
 -226 -173  1
 -176 -191  1
 -212  216  4
 -185 -174  1
  -92   29  3
  142  209  0
   58  238  0
  -82   79  3
 -166  224  4
 -153 -180  1
  131  204  0
   96  188  0
  148 -191  2
  155 -122  2
  147 -128  2
 -213 -237  1
 -206  205  4
 -163  164  4
 -234  244  4
 -178  173  4
 -107   80  3
 -197  227  4
  189 -106  2
 -206  200  4
 -115   39  3
 -200  190  4
 -216 -183  1
 -189 -201  1
  137 -152  2
   79  216  0
  101  198  0
  120  172  0
  -63   83  3
 -104   66  3
 -154 -189  1
 -192  213  4
 -228  197  4
 -205  227  4
 -189 -202  1
  -92   85  3
 -217 -165  1
 -163 -239  1
 -198  149  4
  148 -133  2
  118 -145  2
 -217  159  4
 -170  162  4
 -183 -193  1
  168 -159  2
 -134   74  3
 -187  227  4
  150 -138  2
  116  194  0
  184 -129  2
 -185 -155  1
 -182  172  4
 -114   88  3
   86  214  0
 -196 -226  1
  120  234  0
  108  208  0
 -137   86  3
 -218 -182  1
  172 -144  2
  141 -149  2
  129 -105  2
  159 -128  2
  164 -192  2
 -164  177  4
  181 -147  2
  -96  120  3
  106  237  0
  -68  102  3
  117 -190  2
 -193 -211  1
 -207  217  4
 -215  236  4
  -83   61  3
 -208 -179  1
 -204 -169  1
  -57   99  3
  -82   69  3
  109  272  0
 -189  273  4
 -213 -218  1
 -218  184  4
 -239  218  4
 -100  178  3
  124  251  0
   92  164  0
  147 -138  2
 -185 -189  1
 -183  207  4
  -98  103  3
 -190  219  4
  -69   40  3
  184 -154  2
 -204 -222  1
  133  146  0
   97  187  0
 -187 -256  1
  110  178  0
  -96   69  3
  122  220  0
 -128   81  3
  152 -163  2
 -159  194  4
  106  202  0
  128 -142  2
   46  201  0
  111  177  0
  160 -168  2
 -184  186  4
  140 -197  2
 -232 -255  1
  160 -174  2
   93  225  0
  -82  101  3
 -191  201  4
 -212 -186  1
   78  194  0
 -176 -187  1
 -113   92  3
 -223 -237  1
  -57   93  3
  121  164  0
 -196  205  4
   92  151  0
 -218  254  4
  157 -169  2
 -140   49  3
 -101   76  3
   71  211  0
 -186 -234  1
  126  192  0
  132 -119  2
 -105   44  3
 -249 -197  1
 -236  158  4
 -200 -202  1
  -88   76  3
 -176  197  4
 -245 -214  1
  169 -186  2
  -86  119  3
 -225  -20  1
 -168  271  4
 -225 -188  1
  123 -156  2
  170 -141  2
 -209  191  4
 -159  207  4
  -84   94  3
 -164  190  4
 -223 -245  1
  204 -150  2
 -173  207  4
 -169 -232  1
 -197  168  4
   93  236  0
 -153  203  4
  -95   94  3
 -234 -203  1
 -209  213  4
 -177  192  4
  149 -129  2
  125  203  0
  114 -146  2
 -222  183  4
 -196 -203  1
  169 -131  2
 -249 -187  1
 -183  178  4
 -126   45  3
 -199 -162  1
  137 -127  2
 -233 -207  1
 -208  191  4
 -121   47  3
  116  231  0
  160 -176  2
  130 -145  2
 -199 -240  1
   91  209  0
  177 -142  2
 -207 -199  1
 -222  168  4
  112  166  0
  -60   85  3
 -101   63  3
  105  163  0
 -224 -232  1
 -210 -207  1
 -192 -209  1
 -215 -198  1
  147 -144  2
 -202 -186  1
 -208 -214  1
 -168  153  4
  -91   68  3
 -188  218  4
 -226  186  4
 -205  224  4
 -209 -157  1
 -180  186  4
 -141 -196  1
 -164   41  3
  -90   88  3
  202 -181  1
 -191 -219  1
  185 -145  2
  172 -112  2
  121  177  0
 -212  190  4
 -182 -170  1
 -164  209  4
  101  196  0
  152 -142  2
 -124   86  3
 -246 -206  1
  113  170  0
 -162 -193  1
 -104   62  3
 -130   74  3
  189 -134  2
  -86   87  3
  169 -190  2
  105  169  0
  -86   99  3
   98  200  0
  163 -123  2
  -81   54  3
   79  215  0
 -166 -182  1
   63  208  0
  160 -193  2
 -169 -193  1
   89  234  0
   63  242  0
  136 -131  2
  100  223  0
 -195  272  4
   83  221  0
 -201 -195  1
 -140   65  3
  119  225  0
 -205 -199  1
 -230 -256  1
  113  173  0
  134 -154  2
   95  234  0
 -119  129  3
  -98   82  3
  114  162  0
  141 -154  2
  120 -122  2
 -112  100  3
  112  218  0
 -195 -261  1
 -223  192  4
  -48   72  3
 -209 -193  1
 -182  241  4
 -165  243  4
 -198  186  4
  168 -154  2
  143 -118  2
  -98   76  3
  -97   68  3
 -192  140  4
 -129   77  3
 -206  204  4
 -122   64  3
  198 -175  2
 -207 -171  1
 -200 -149  1
   91  157  0
 -197 -174  1
 -167  203  4
 -199  216  4
  138  222  0
 -149   71  3
 -219  213  4
 -111  103  3
  -98   66  3
   98  175  0
 -229  235  4
   92  190  0
 -225  277  4
   96  164  0
 -206  198  4
 -192 -197  1
 -187  202  4
 -227  144  4
 -238 -191  1
   76  195  0
 -238  176  4
  -74   60  3
  238 -182  1
 -237 -201  1
  161 -158  2
 -222  208  4
  132 -141  2
  -41   66  3
 -233 -235  1
 -145   84  3
 -212 -190  1
  119 -186  2
 -184  195  4
 -167 -213  1
 -177  178  4
 -188  178  4
 -224  195  4
 -154   76  3
  -84   96  3
  190 -162  2
  155 -131  2
  162 -189  2
  151 -154  2
 -225  205  4
  160 -130  2
 -195 -187  1
  -75  103  3
 -215 -200  1
  109  182  0
  138 -223  2
 -185  225  4
  121  227  0
 -102   30  3
 -102  106  3
 -111   61  3
   95  229  0
 -234  209  4
 -211  232  4
 -183 -214  1
 -218  204  4
  148 -162  2
 -174  180  4
   97  212  0
  152 -157  2
 -196 -212  1
  122  206  0
   78  217  0
 -140   81  3
   80  189  0
 -206  180  4
 -116   51  3
 -224  155  4
 -198 -214  1
  126 -133  2
  139 -128  2
   57  235  0
  134 -129  2
 -107   79  3
 -199 -174  1
   73  237  0
  151 -132  2
 -214   89  1
  118 -199  2
  146 -111  2
 -186 -190  1
 -149 -183  1
  -92   76  3
 -219 -232  1
 -184 -237  1
 -193  224  4
  170 -127  2
  153 -153  2
  106  222  0
 -230  162  4
  166 -153  2
 -197 -196  1
 -192  217  4
  -85   96  3
  129  219  0
 -126   61  3
 -196 -206  1
  -62   94  3
   91 -177  2
  132 -179  2
 -171  175  4
  218   41  3
 -228 -194  1
 -175  205  4
  111  211  0
 -204 -167  1
 -173 -214  1
 -101  103  3
 -180 -191  1
  124 -116  2
  175 -215  2
 -212  171  4
 -226  169  4
 -122   67  3
 -158 -243  1
  104  183  0
 -237  200  4
 -236  216  4
   78  204  0
 -144  194  4
  139 -117  2
  -86   83  3
  102  202  0
  140 -138  2
 -105   99  3
 -203  193  4
   87  194  0
 -132   61  3
 -189  224  4
  150 -154  2
 -224  236  4
  162 -134  2
 -190 -172  1
 -213  247  4
 -197 -216  1
  126 -171  2
 -217 -180  1
  177 -171  2
 -180 -232  1
  -99   71  3
 -186 -251  1
 -188 -236  1
  105 -176  2
  -98   71  3
 -192  205  4
  -88   83  3
  129  189  0
 -161  203  4
 -113   44  3
  -68   62  3
 -197  221  4
 -103  129  3
   85  201  0
 -191 -206  1
  -98  115  3
 -172  145  4
 -230 -220  1
 -209  184  4
  144  213  0
 -129   51  3
  115  236  0
 -204 -178  1
  -72   70  3
  -98   73  3
   99  210  0
 -145   87  3
 -211  215  4
   69  188  0
 -112   68  3
 -201 -232  1
   89  190  0
 -219  221  4
  171 -152  2
   93  199  0
   82  208  0
   51   58  3
 -232  188  4
 -191  145  4
  181 -196  2
 -216  156  4
 -236 -182  1
 -115   72  3
  149 -168  2
  -73   56  3
  122 -121  2
  145 -175  2
 -201  212  4
  153 -159  2
 -117  101  3
  131 -130  2
  -79   91  3
  114  199  0
 -200 -183  1
   54  206  0
  183 -141  2
 -196  241  4
 -189 -221  1
  117  211  0
 -104   57  3
   86  183  0
 -271  123  3
 -115   42  3
  127 -146  2
 -223  152  4
 -165  242  4
 -197 -218  1
  173 -149  2
  -84   23  3
 -179  191  4
   77  167  0
  127  233  0
 -125   57  3
  -84   72  3
 -172  135  4
 -217 -168  1
   64  176  0
  110 -153  2
  -66   38  3
 -127   88  3
 -182 -246  1
 -217 -212  1
 -208 -235  1
 -114   47  3
  144 -150  2
 -245 -209  1
 -137   17  3
 -197 -200  1
 -158 -185  1
  112  169  0
 -258 -165  1
 -114   80  3
  113 -174  2
  161 -150  2
  167  -91  2
  -71  102  3
  122  205  0
 -117   33  3
 -165  196  4
  178 -152  2
  -66   37  3
   97 -154  2
 -120   48  3
 -122   43  3
 -117 -205  1
 -228 -223  1
 -108   79  3
 -105  114  3
 -219 -199  1
 -186 -152  1
  121 -145  2
   86  198  0
  -69   83  3
 -107   83  3
  -82   96  3
 -210  196  4
   41 -209  1
  115  207  0
  141 -163  2
  -97   65  3
  111   67  3
  129 -120  2
 -199 -192  1
  105 -137  2
 -203 -190  1
 -214 -187  1
 -194 -216  1
 -197  175  4
   93  195  0
  -66  100  3
   78  185  0
  126  235  0
 -103   82  3
 -229  232  4
 -121   91  3
   78  173  0
 -204  181  4
 -178 -231  1
  230 -125  2
  -84   52  3
  193 -162  2
 -162  204  4
 -218 -179  1
   69  220  0
 -195  182  4
  107 -184  2
  107  260  0
 -187 -191  1
  192 -132  2
   73  178  0
  191 -148  2
 -108   34  3
  128  222  0
 -225  226  4
   84  190  0
  -93   90  3
 -222 -232  1
 -248  155  4
 -177  174  4
 -201  211  4
  -75   32  3
  107  186  0
 -212  189  4
 -236 -213  1
 -194  223  4
  106  203  0
  134 -148  2
 -198  231  4
  181 -220  2
  172 -138  2
  140  211  0
 -169  174  4
 -248  219  4
  173 -162  2
 -100   75  3
   64  228  0
 -150  179  4
 -249  195  4
   86  208  0
  178 -125  2
  -65   85  3
 -189 -194  1
 -239 -258  1
  101  189  0
  -79   90  3
  122 -143  2
 -184 -223  1
   76  198  0
  180 -148  2
  -66   89  3
 -214 -178  1
 -201 -197  1
 -136   57  3
  115  158  0
 -179  153  4
 -205 -193  1
   88  231  0
  178 -170  2
  105  188  0
  137 -125  2
 -189 -224  1
 -219 -229  1
 -170 -243  1
  101  212  0
 -101   69  3
  100  215  0
 -133   53  3
 -111   33  3
  141 -192  2
  150 -127  2
  115 -137  2
 -197  219  4
 -205  161  4
   70  190  0
  -93   93  3
  115  251  0
  175 -163  2
 -147  218  4
 -242 -226  1
  125 -107  2
  149 -156  2
  125  246  0
  120  195  0
 -229 -182  1
  130 -173  2
  129  222  0
 -234 -196  1
 -188 -212  1
 -181  219  4
 -197 -180  1
 -234 -182  1
  106  233  0
 -141   34  3
  172 -168  2
   72  166  0
 -114  104  3
  138 -189  2
 -170  196  4
 -185 -210  1
   83  198  0
  -52   94  3
 -201 -157  1
  156 -150  2
  109  222  0
 -193  169  4
  121  194  0
 -107  189  0
  144 -160  2
  -75   62  3
 -236 -212  1
 -157 -199  1
 -187  200  4
  101  181  0
  -86   61  3
  110  184  0
 -145   45  3
  119  227  0
 -175   89  3
 -169 -204  1
 -188  219  4
  126 -145  2
   91  221  0
 -172  185  4
 -164  171  4
 -174  187  4
 -216  220  4
 -189 -237  1
 -204  196  4
 -211  231  4
 -239  202  4
   95  231  0
  104  197  0
  163 -130  2
  172 -141  2
 -102   82  3
 -239 -190  1
  196 -169  2
 -190 -218  1
   56  225  0
 -169 -175  1
   77  205  0
 -232  236  4
   68  181  0
 -197 -213  1
  -53   54  3
   56  115  0
 -225 -256  1
 -211  170  4
 -190 -190  1
  148 -185  2
  130  186  0
 -201  216  4
 -211 -180  1
 -201 -187  1
  134  206  0
 -209  183  4
 -233 -239  1
   94  194  0
  155 -141  2
 -163  201  4
  126  197  0
  128 -176  2
 -207 -212  1
   93  157  0
  187 -143  2
 -118   75  3
  183 -166  2
  146 -177  2
 -194  202  4
  103  189  0
 -203  213  4
 -217  192  4
  120  177  0
 -184 -204  1
 -145   28  3
 -208 -181  1
 -142   76  3
 -251  -46  1
  -75   94  3
  142  206  0
  -50   73  3
 -202 -165  1
  -89  100  3
 -130   68  3
  175 -164  2
  144 -150  2
   84  224  0
  201 -171  2
  165 -172  2
 -204 -225  1
 -102   70  3
 -200  236  4
  -94   62  3
 -203 -219  1
 -102   89  3
 -225  218  4
  101  216  0
   89  187  0
 -201 -245  1
 -117   66  3
 -101   10  3
   94 -138  2
  100  242  0
  178 -160  2
   76  224  0
 -179 -199  1
  172 -154  2
 -221 -211  1
 -177 -189  1
 -227  223  4
 -194  155  4
 -224  195  4
 -121   72  3
 -173 -213  1
 -190  179  4
  130  140  0
 -191  206  4
 -189  224  4
 -265  216  4
   91  197  0
  -85   42  3
  103  248  0
 -220  207  4
  156  210  0
 -124  106  3
 -242  180  4
 -209  228  4
 -212 -155  1
 -253  178  4
 -204  215  4
 -125   69  3
 -232 -161  1
 -194  200  4
 -219 -167  1
 -218 -174  1
 -161  249  4
  165 -115  2
 -188  211  4
  -87   80  3
  156 -137  2
 -225  240  4
 -147   59  3
  102  162  0
 -201 -196  1
 -190  225  4
  168 -135  2
 -256  161  4
 -101  114  3
 -263  203  4
 -178 -216  1
  154 -141  2
 -224 -238  1
 -234  226  4
 -170 -239  1
 -154  167  4
  123 -140  2
   71  221  0
   99  219  0
   79 -165  2
 -210 -176  1
  -83  100  3
 -231 -180  1
 -207  193  4
 -200  197  4
 -218 -202  1
 -224 -255  1
 -205  175  4
  140 -141  2
   85  153  0
  -78   68  3
  176 -164  2
 -218  212  4
 -219  209  4
   70  179  0
  134  206  0
 -204  224  4
 -160  181  4
  120  213  0
  192 -146  2
   88  184  0
 -152   82  3
  193 -142  2
 -192  213  4
 -222 -179  1
  -86   24  3
 -111   96  3
 -112   40  3
   87  208  0
 -206 -171  1
  150 -145  2
 -167 -209  1
 -227  213  4
  126 -142  2
 -213 -186  1
 -205 -223  1
 -227  218  4
  173 -157  2
 -191 -205  1
 -208 -212  1
   85  172  0
 -212  163  4
  -95   51  3
 -163   91  3
  -97   76  3
  114 -111  2
 -205 -206  1
 -184  230  4
   97  252  0
 -132   49  3
 -186  165  4
  118 -110  2
  -63   68  3
  176  223  0
  111  191  0
  167 -169  2
 -110   75  3
  100  213  0
 -141   82  3
  104  273  0
 -231 -167  1
 -216 -199  1
   97  200  0
  -95   55  3
 -177 -235  1
  143 -206  2
  164 -115  2
  -81  106  3
 -214 -228  1
 -221  219  4
  109  165  0
 -194  170  4
 -197  193  4
   82  228  0
  148 -144  2
 -203 -147  1
 -104   49  3
  183 -183  2
  165 -133  2
   89  243  0
 -178  181  4
  -97   60  3
  103  245  0
 -227  240  4
 -223 -224  1
  114 -175  2
  144 -130  2
  157 -173  2
 -232 -203  1
 -117   33  3
  200 -157  2
 -135   47  3
 -215 -206  1
 -164  211  4
 -185 -207  1
 -214 -155  1
 -171 -240  1
  161 -141  2
  175 -152  2
  175 -181  2
 -192  176  4
 -166 -220  1
 -172 -215  1
 -231  162  4
  107  195  0
 -214 -194  1
  152 -155  2
 -278 -251  1
 -195  212  4
 -211 -208  1
  193 -165  2
  169 -153  2
 -202 -203  1
   46  164  0
  -71   97  3
  148 -124  2
  122  218  0
 -240  218  4
 -168  178  4
 -175  192  4
 -242  167  4
 -254  181  4
 -168 -169  1
  147 -134  2
 -232 -163  1
  -66  108  3
 -164 -163  1
  108 -193  2
 -100  108  3
 -193 -216  1
  103 -190  2
 -210  221  4
  126  172  0
 -214  161  4
 -230  208  4
 -172  179  4
   57  214  0
 -103   77  3
  148  192  0
 -193  188  4
  136  201  0
 -229 -197  1
  109  270  0
  160 -106  2
 -224  201  4
  143 -140  2
   79  235  0
  115  183  0
   70  172  0
 -208 -204  1
  107  157  0
  123  179  0
  184 -117  2
 -211 -234  1
  134 -133  2
  154 -177  2
 -143   45  3
 -113   41  3
 -234 -211  1
  104 -141  2
  141 -146  2
   76  199  0
  -99   59  3
  154 -159  2
   77  190  0
  126 -154  2
  145 -182  2
 -233 -194  1
 -239 -166  1
 -178  197  4
  132 -146  2
  154 -172  2
  197 -170  2
 -137 -162  1
 -206  178  4
  -76   88  3
  151 -169  2
 -210  158  4
 -209 -174  1
 -212 -190  1
   70  184  0
 -201 -171  1
 -102   34  3
  -90   77  3
  178 -125  2
  152 -193  2
 -148   39  3
  102  199  0
 -137   96  3
 -137   82  3
 -222 -182  1
  163 -151  2
  -77   37  3
  137 -134  2
 -181  238  4
   77  186  0
 -217  180  4
  157 -136  2
 -183  223  4
 -194  205  4
 -146  224  4
  122  191  0
 -199 -189  1
 -131   55  3
  153 -147  2
 -199 -148  1
  141 -178  2
 -246 -220  1
 -224  191  4
 -163  187  4
 -205 -211  1
 -203  150  4
 -222  183  4
  106  218  0
  110  205  0
   82  160  0
 -186 -169  1
  138  173  0
  165 -199  2
 -208  203  4
 -175  232  4
 -137   24  3
   83  227  0
  184 -150  2
  150 -156  2
   90  151  0
 -203 -191  1
  -72   46  3
  160 -154  2
 -215 -199  1
  110  173  0
 -189  231  4
 -116   98  3
  107  198  0
 -202 -202  1
 -223 -201  1
 -120   86  3
 -211 -202  1
 -167  173  4
 -216  164  4
  162 -142  2
  170 -160  2
  161 -199  2
  208 -181  2
 -210  242  4
  -82   21  3
 -188  241  4
 -196  196  4
  107  205  0
 -220  214  4
   96 -179  2
 -155 -195  1
  -68   54  3
 -131   28  3
  -72  146  3
  149  -87  2
 -229 -166  1
  -91   60  3
 -194  181  4
  136  237  0
 -211  163  4
 -108   87  3
   63 -111  2
  -84   51  3
   94  184  0
 -193 -208  1
 -168  200  4
 -112   37  3
  110  228  0
  124 -168  2
 -200  205  4
   63  240  0
 -218 -175  1
 -208  174  4
  133  193  0
  -97   79  3
  133 -145  2
 -163 -210  1
 -194  182  4
 -178 -207  1
 -213 -175  1
 -177  205  4
 -176  186  4
  157 -125  2
 -247 -230  1
  165 -117  2
 -100  101  3
   57  181  0
 -218  183  4
 -114   94  3
 -200 -164  1
   86  150  0
 -133   73  3
 -168 -176  1
  112  213  0
  115  171  0
  165 -168  2
  132 -127  2
 -180  230  4
  122 -105  2
  117 -154  2
  100  192  0
  106  224  0
  179 -152  2
  159  -95  2
 -193  187  4
  134 -138  2
  156  165  0
 -105  106  3
  111  187  0
  136  178  0
 -190  226  4
 -233  169  4
 -123   26  3
 -216 -199  1
 -181 -226  1
 -202 -209  1
  144 -127  2
 -199 -177  1
 -240  167  4
  148 -129  2
 -204  243  4
  130 -178  2
   72  266  0
 -180  193  4
  157 -147  2
 -202  181  4
   76  157  0
  125  238  0
  159 -185  2
   78  168  0
  133  218  0
  -77   58  3
   86  186  0
 -119   62  3
 -201 -208  1
 -193  154  4
 -156 -188  1
  105  190  0
 -224 -226  1
  106 -155  2
 -160 -167  1
 -211  233  4
  -89   89  3
  146 -117  2
  121  191  0
 -197 -189  1
  -71    7  3
 -210 -193  1
 -192 -213  1
  114 -136  2
 -113   77  3
   80  157  0
  134 -160  2
  133  213  0
 -174  214  4
  156 -158  2
   50  158  0
   67  210  0
  152 -168  2
  103  229  0
  131 -144  2
 -179  213  4
 -216  231  4
 -195 -207  1
  184 -141  2
  153  203  0
 -146   48  3
 -166 -177  1
  128 -152  2
 -192  188  4
  -81   61  3
  -59   77  3
 -197 -227  1
  -88   77  3
 -227 -179  1
 -200  197  4
  173 -139  2
 -148  201  4
 -218  162  4
  163 -152  2
 -174 -192  1
  179 -123  2
  152 -129  2
  134 -118  2
  124  177  0
 -225 -138  1
 -225  172  4
  -89  107  3
  104 -135  2
  102  205  0
 -181  202  4
  159 -297  2
 -180 -221  1
 -140   80  3
  143 -125  2
  107 -161  2
 -179  218  4
  181 -177  2
  189 -158  2
 -183  173  4
 -199 -177  1
   82 -181  2
   81  212  0
  130  166  0
 -212  207  4
  -83    5  3
 -114   45  3
   89 -142  2
  -92   79  3
  178 -144  2
 -217  159  4
 -202  217  4
 -185 -217  1
 -212 -189  1
  109  210  0
 -112   47  3
  135 -139  2
 -190  247  4
  150 -183  2
  138 -111  2
  -70   93  3
 -251  161  4
 -213  167  4
  116  201  0
  100  175  0
  119 -139  2
  -83   80  3
  -34   49  3
  154 -144  2
  -98   61  3
 -210  236  4
 -204  194  4
 -184 -222  1
  -69   63  3
  163 -155  2
  148 -131  2
  148  253  0
 -234  204  4
  134 -126  2
 -152  216  4
  -65   59  3
 -197 -246  1
 -210 -173  1
   80  171  0
  114  217  0
  144  209  0
 -211 -155  1
 -233 -219  1
 -197 -228  1
  -92 -168  1
  142 -162  2
  146 -147  2
  170 -129  2
  147 -155  2
 -182  162  4
 -100   43  3
  151 -120  2
 -209  185  4
  100  228  0
 -224  171  4
 -205 -193  1
 -204 -214  1
  -66  113  3
 -173 -175  1
 -201 -213  1
 -155 -175  1
 -131   43  3
 -173  194  4
 -218 -226  1
 -210  167  4
  170 -147  2
 -217 -197  1
 -244 -176  1
  145 -125  2
   53  236  0
  167 -161  2
 -213  202  4
   65  197  0
 -226 -188  1
  152  185  0
  137 -130  2
 -248 -220  1
   86  161  0
 -212  237  4
 -168  195  4
 -178 -233  1
 -170  248  4
 -205  204  4
 -226 -172  1
  155  171  0
 -212  205  4
   93  200  0
  -85  115  3
  157 -113  2
 -195 -239  1
  153 -165  2
  142 -164  2
  170 -143  2
   94  262  0
 -212  149  4
 -224 -214  1
 -229  240  4
 -203  177  4
 -141   61  3
  180 -136  2
  139 -167  2
  -82   76  3
 -199 -274  1
  151 -140  2
 -228 -193  1
  120   38  0
 -254  213  4
  112  188  0
  135 -125  2
 -193 -216  1
 -219 -222  1
  143 -131  2
  -87   88  3
  110  200  0
  155 -165  2
  -85   41  3
  -61   93  3
  188 -196  2
   61  172  0
 -207 -209  1
 -211  188  4
  149 -152  2
  121 -148  2
 -154 -231  1
  144 -129  2
   91 -147  2
 -235 -204  1
  156 -156  2
  149 -143  2
  -89   64  3
  -79   77  3
  162 -161  2
 -243 -167  1
  187 -155  2
 -132   51  3
   68  221  0
 -161  196  4
 -177  229  4
  138  207  0
 -108  115  3
 -231  197  4
 -199 -196  1
 -204  193  4
 -193 -210  1
 -242 -181  1
  -82   62  3
  209  215  4
  138 -120  2
 -183 -199  1
 -224 -269  1
  127 -145  2
 -288  167  4
   70  197  0
 -209 -184  1
 -251 -241  1
 -199 -176  1
 -197  179  4
  105 -136  2
  122  205  0
 -171  173  4
   91  232  0
  110  187  0
  158 -146  2
  -63   86  3
  130 -156  2
  101  227  0
  141 -109  2
 -217  179  4
  191 -175  2
 -189 -199  1
 -171 -181  1
 -202  188  4
 -129   86  3
 -196  219  4
 -239  218  4
 -183  187  4
  118  186  0
  129  157  0
 -209  176  4
 -159 -199  1
 -167  184  4
 -140   71  3
  129 -134  2
 -197  190  4
 -220  191  4
  107  152  0
 -229 -188  1
 -189 -212  1
  113  173  0
 -161 -170  1
  141  229  0
 -152 -216  1
 -123  107  3
   95  185  0
 -222 -187  1
  123 -233  2
   50  203  0
  134 -157  2
  140 -108  2
   94  167  0
 -208 -236  1
 -212 -205  1
 -209 -209  1
  -69   69  3
   44  173  0
  149 -169  2
  162 -108  2
 -184  227  4
 -213  169  4
  106 -138  2
   66  163  0
   16  210  0
 -211  178  4
   92  179  0
 -136   79  3
  105  226  0
   95  155  0
 -224 -204  1
  -65   60  3
  122  173  0
  -67    6  3
 -129   36  3
   80  188  0
 -204 -192  1
 -115  104  3
  135 -186  2
   99  165  0
 -109   67  3
  136 -118  2
  123 -173  2
 -175  183  4
 -135   76  3
 -211 -234  1
 -193  187  4
  101  184  0
 -161  213  4
 -242  167  4
   41  180  0
   71  173  0
   25  236  0
  100  164  0
 -192 -181  1
  -89   98  3
  123 -151  2
   91  183  0
 -224  213  4
 -211 -210  1
  144 -137  2
  176 -153  2
  156 -119  2
 -216 -226  1
  -93   69  3
   99  209  0
 -204 -198  1
 -188  228  4
  157 -162  2
 -222  193  4
 -196  159  4
  150 -141  2
 -209  128  4
 -215 -183  1
  113  229  0
 -203 -199  1
  115 -165  2
  136  195  0
 -228 -196  1
 -178  225  4
 -178 -196  1
 -118   32  3
 -195 -200  1
  119  224  0
  180 -164  2
  114 -159  2
 -227 -205  1
 -216  155  4
  112  227  0
  -98   74  3
  184 -107  2
 -153  117  3
  176 -116  2
 -171 -189  1
  113  176  0
  -67   71  3
  127  220  0
   85  216  0
  159 -157  2
 -204  192  4
  100  205  0
   92  202  0
  200 -143  2
 -203  209  4
 -190  173  4
 -240  206  4
 -121   63  3
  149 -119  2
 -206 -203  1
 -211  218  4
 -229 -191  1
  -64  179  0
 -201 -221  1
  100  215  0
  147 -146  2
   82  183  0
  -88   96  3
 -170  240  4
 -205  202  4
  -83   99  3
 -201  184  4
  -93   54  3
  148 -165  2
 -149  210  4
 -219 -226  1
  -99   43  3
 -126   91  3
  146 -144  2
 -228  157  4
 -173  209  4
   64  212  0
 -203  180  4
   77  178  0
 -139  219  4
 -180 -158  1
  139  211  0
  -98   69  3
 -102   62  3
  -86   86  3
  -85   37  3
 -192 -201  1
 -122   84  3
 -162  168  4
  123 -111  2
 -117   59  3
  115 -129  2
   91  193  0
 -219 -207  1
 -205  171  4
  112 -133  2
  -85   45  3
 -214  225  4
